frame,x,y,width,height
0,265,130,189,341
1,265,126,188,341
2,266,127,186,331
3,264,128,188,335
4,265,125,187,331
5,264,144,189,336
6,263,135,188,344
7,263,140,189,333
8,262,131,189,333
9,261,136,188,342
10,261,122,186,334
11,259,135,187,339
12,258,135,188,334
13,259,125,185,313
14,259,139,187,335
15,260,135,187,332
16,261,149,188,331
17,264,133,187,337
18,265,127,188,316
19,266,136,190,339
20,267,154,192,326
21,267,178,202,302
22,269,176,201,304
23,271,172,198,308
24,274,164,193,316
25,276,134,191,329
26,276,142,187,338
27,275,132,185,339
28,273,132,185,327
29,272,118,182,312
30,271,113,183,306
31,267,112,187,305
32,265,118,189,298
33,262,121,191,313
34,260,121,193,317
35,259,123,193,301
36,257,124,194,293
37,255,120,196,286
38,256,119,192,295
39,257,116,191,310
40,256,116,192,318
41,260,115,186,334
42,261,125,189,335
43,262,126,189,336
44,264,132,191,326
45,264,141,195,335
46,264,143,200,329
47,262,156,206,322
48,264,162,207,313
49,265,170,207,310
50,265,166,207,314
51,267,160,205,320
52,268,166,203,314
53,268,156,201,324
54,269,142,198,336
55,269,124,189,342
56,268,132,189,348
57,267,117,187,338
58,265,121,188,325
59,265,118,188,331
60,265,108,185,324
61,263,115,188,330
62,262,114,189,332
63,262,113,187,337
64,261,119,189,346
65,259,116,189,326
66,259,116,189,330
67,259,116,189,327
68,259,115,187,329
69,260,115,187,332
70,260,115,187,330
71,260,116,187,324
72,259,116,188,330
73,259,116,188,324
74,260,124,189,335
75,260,116,188,327
76,260,115,188,330
77,260,114,187,328
