step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.89939,0.66667,,
2,1.28657,0.79487,,
3,1.09441,0.775,,
4,1.91754,0.6,,
5,1.85141,0.69565,,
6,1.60921,0.68966,,
7,0.68546,0.74194,,
8,1.89401,0.67857,,
9,0.29313,0.89655,,
10,1.19152,0.66667,,
11,1.54576,0.7,,
12,0.63593,0.88571,,
13,1.51493,0.61667,,
14,1.59676,0.56522,,
15,0.91788,0.81818,,
16,0.98329,0.79487,,
17,1.08782,0.69231,,
18,0.97548,0.79592,,
19,0.97971,0.68889,,
20,0.88189,0.78788,,
21,0.94338,0.69231,,
22,0.62705,0.82456,,
23,0.49124,0.825,,
24,0.35837,0.89655,,
25,0.63216,0.82609,,
26,0.76083,0.79487,,
27,0.65759,0.77778,,
28,0.79507,0.8,,
29,0.5867,0.87879,,
30,0.77024,0.78788,,
31,0.79355,0.7619,,
32,0.44219,0.87179,,
33,0.33901,0.87097,,
34,0.87332,0.78261,,
35,0.18997,0.96552,,
36,1.04647,0.71429,,
37,0.64916,0.8,,
38,0.39612,0.92857,,
39,0.65172,0.81633,,
40,1.07583,0.66667,,
41,1.04038,0.66667,,
42,0.21264,1.0,,
43,0.8102,0.78571,,
44,0.36964,0.9,,
45,0.61923,0.8,,
46,0.59441,0.85714,,
47,0.40013,0.91111,,
48,0.69788,0.82609,,
49,0.4422,0.90909,,
50,0.21351,0.93548,,
51,0.39798,0.84211,,
52,0.09172,0.96552,,
53,0.49889,0.84848,,
54,0.25306,0.94286,,
55,0.26897,0.89744,,
56,0.52822,0.85714,,
57,0.50807,0.8,,
58,0.53882,0.84615,,
59,0.38341,0.86957,,
60,0.45977,0.85,,
61,0.49529,0.81538,,
62,0.57387,0.85714,,
63,0.42167,0.85,,
64,0.14316,0.96774,,
65,0.3774,0.90909,,
66,0.42464,0.91837,,
67,0.46379,0.84615,,
68,0.20301,0.92308,,
69,0.31684,0.91304,,
70,0.30532,0.86667,,
71,0.68793,0.8,,
72,0.54457,0.82609,,
73,0.06861,0.96552,,
74,0.36754,0.87879,,
75,0.30387,0.9375,,
76,0.08445,1.0,,
77,0.17636,0.95714,,
78,0.25142,0.95556,,
79,0.3953,0.92857,,
80,0.27171,0.89474,,
81,0.05438,1.0,,
82,0.35771,0.87179,,
83,0.24421,0.91304,,
84,0.23506,0.93333,,
85,0.60915,0.8,,
86,0.15233,0.94872,,
87,0.31386,0.87879,,
88,0.40366,0.87692,,
89,0.2791,0.9375,,
90,0.23925,0.92982,,
91,0.08687,1.0,,
92,0.48702,0.82609,,
93,0.19012,0.93333,,
94,0.33537,0.91837,,
95,0.30836,0.87879,,
96,0.05813,1.0,,
97,0.4648,0.89286,,
98,0.25756,0.925,,
99,0.13238,0.97143,,
100,0.35143,0.92857,,
